,contract_address,contract_url,contract_name,nifty_name,store_url,nifty_date_created,num_pm_sales,num_sm_sales,avg_resale_price,highest_active_bid,lowest_active_ask,sm_market_volume,price
1116,0xa70d6b6222fcc73dc26512634afe8bde378f3b7e,https://niftygateway.com/itemdetail/primary/0xa70d6b6222fcc73dc26512634afe8bde378f3b7e/1,Mora Borea,Mora Borea,https://niftygateway.com/collections/fourwinds,2021-02-17T20:31:17.414992Z,10,1,529500,0,0,4676942,
1117,0x4334092242deea8b5d7fa025324b6509c7778846,https://niftygateway.com/itemdetail/primary/0x4334092242deea8b5d7fa025324b6509c7778846/1,Slice of Happiness,Slice of Happiness,https://niftygateway.com/collections/spaceyacht2,2020-12-22T20:09:35.946448Z,5,1,88888,44444,0,34500,100000000.0
1118,0x7018e01bba60ee9dba8c8c189cdb53f9238edf20,https://niftygateway.com/itemdetail/primary/0x7018e01bba60ee9dba8c8c189cdb53f9238edf20/1,The Crypto Genie is Out of the Bottle,The Crypto Genie is Out of the Bottle,https://niftygateway.com/collections/yonatpacks,2021-01-20T19:04:29.352008Z,6,1,29900,0,0,150000,
1119,0xa6b6110a896594314ca1de978ee2f2253c84bb93,https://niftygateway.com/itemdetail/primary/0xa6b6110a896594314ca1de978ee2f2253c84bb93/1,BOUNCING LIGHT,BOUNCING LIGHT,https://niftygateway.com/collections/upendo,2020-11-25T21:05:21.524594Z,1,1,150000,0,0,40000,
1120,0xc2242778b49c520a20ec7edd1d57e6a64a3a3495,https://niftygateway.com/itemdetail/primary/0xc2242778b49c520a20ec7edd1d57e6a64a3a3495/1,IMG_6181.HEIC (My Father’s Body),IMG_6181.HEIC (My Father’s Body),https://niftygateway.com/collections/nfnkalyan3,2020-10-28T04:22:21.514627Z,1,1,112500,200000,0,35000,
1121,0x5d32e097999bd45f86953abe2b3bf11b4b7ef2ee,https://niftygateway.com/itemdetail/primary/0x5d32e097999bd45f86953abe2b3bf11b4b7ef2ee/1,Rebirth of Venus (Lil Miquela),Rebirth of Venus (Lil Miquela),https://niftygateway.com/collections/famousnfts,2020-12-18T19:28:27.056928Z,1,1,239900,0,0,150000,
1122,0x3bf05ea9e20e98ed269e67025cfdf716c37006c7,https://niftygateway.com/itemdetail/primary/0x3bf05ea9e20e98ed269e67025cfdf716c37006c7/1,ESME,ESME,https://niftygateway.com/collections/adampriesterauctions,2021-02-26T22:02:20.314859Z,10,1,419500,77700,0,3724522,
1123,0x4f0005d92feabbcffd46eb0bccae61ef81f03802,https://niftygateway.com/itemdetail/primary/0x4f0005d92feabbcffd46eb0bccae61ef81f03802/1,Sailor's Dawn,Sailor's Dawn,https://niftygateway.com/collections/holliday,2020-05-07T19:29:30.733630Z,5,1,95000,80000,0,250000,2888800.0
1124,0xf71254147ab04be7bc7efd109641f0792de23af1,https://niftygateway.com/itemdetail/primary/0xf71254147ab04be7bc7efd109641f0792de23af1/1,Whale holding Dumpling,Whale holding Dumpling,https://niftygateway.com/collections/yiyinglu,2020-11-18T04:08:11.520732Z,1,1,111110,166900,0,6000,
1125,0x02413c345233f06963cf86c642f5f41f3a189c16,https://niftygateway.com/itemdetail/primary/0x02413c345233f06963cf86c642f5f41f3a189c16/1,Gifts From Time,Gifts From Time,https://niftygateway.com/collections/adampriester,2020-10-05T21:38:31.762564Z,3,1,363600,270000,0,450000,
1126,0x005efb3633638dd0dd336ce671920bccb1ea82bd,https://niftygateway.com/itemdetail/primary/0x005efb3633638dd0dd336ce671920bccb1ea82bd/1,Cracked,Cracked,https://niftygateway.com/collections/slimesunday2,2021-01-05T18:22:23.139386Z,1,1,996900,0,0,400000,
1127,0x948b3515d81034a3c16d5393c6c155946c93c103,https://niftygateway.com/itemdetail/primary/0x948b3515d81034a3c16d5393c6c155946c93c103/1,Battle of the WarNymphs,Battle of the WarNymphs,https://niftygateway.com/collections/warnymphvolume1,2021-02-25T05:59:31.296359Z,10,1,4000000,100000,0,24961300,
1128,0xf8384521301b02a280984d4c623cd37a5a1ffc4b,https://niftygateway.com/itemdetail/primary/0xf8384521301b02a280984d4c623cd37a5a1ffc4b/1,GLOW,GLOW,https://niftygateway.com/collections/ssx3lau2,2020-11-13T06:07:58.593321Z,3,1,2500000,120000,0,999999,
1129,0x1ced6f767092c099fc1cae22a2629772b0ba936a,https://niftygateway.com/itemdetail/primary/0x1ced6f767092c099fc1cae22a2629772b0ba936a/1,Creation (Accusation),Creation (Accusation),https://niftygateway.com/collections/nfnkalyan2,2020-09-01T00:10:01.416460Z,1,1,1100000,0,0,205000,2375000.0
1130,0x068f74749c24a42058563035f8c786362fc96494,https://niftygateway.com/itemdetail/primary/0x068f74749c24a42058563035f8c786362fc96494/1,i'm protecting you from the road ahead by Odious,i'm protecting you from the road ahead by Odious,https://niftygateway.com/collections/fabricatedfairytalesopen,2021-03-02T21:30:39.920938Z,22,1,1222222,260000,0,9776800,1666300.0
